SATELLITE;BIDS;WAVELENGTH;RSR
Landsat 7;7;2081;0.774
Landsat 7;7;2083;0.776
Landsat 7;7;2085;0.789
Landsat 7;7;2086;0.775
Landsat 7;7;2088;0.784
Landsat 7;7;2090;0.778
Landsat 7;7;2092;0.768
Landsat 7;7;2094;0.762
Landsat 7;7;2096;0.761
Landsat 7;7;2099;0.775
Landsat 7;7;2100;0.775
Landsat 7;7;2102;0.764
Landsat 7;7;2104;0.784
Landsat 7;7;2106;0.792
Landsat 7;7;2108;0.814
Landsat 7;7;2110;0.794
Landsat 7;7;2112;0.825
Landsat 7;7;2114;0.817
Landsat 7;7;2116;0.806
Landsat 7;7;2117;0.819
Landsat 7;7;2119;0.821
Landsat 7;7;2121;0.852
Landsat 7;7;2123;0.832
Landsat 7;7;2125;0.836
Landsat 7;7;2127;0.85
Landsat 7;7;2129;0.855
Landsat 7;7;2131;0.862
Landsat 7;7;2133;0.853
Landsat 7;7;2135;0.871
Landsat 7;7;2136;0.848
Landsat 7;7;2138;0.882
Landsat 7;7;2140;0.875
Landsat 7;7;2142;0.86
Landsat 7;7;2144;0.856
Landsat 7;7;2146;0.887
Landsat 7;7;2148;0.85
Landsat 7;7;2150;0.872
Landsat 7;7;2151;0.879
Landsat 7;7;2153;0.857
Landsat 7;7;2155;0.865
Landsat 7;7;2157;0.867
Landsat 7;7;2159;0.871
Landsat 7;7;2161;0.882
Landsat 7;7;2163;0.87
Landsat 7;7;2165;0.869
Landsat 7;7;2166;0.873
Landsat 7;7;2168;0.877
Landsat 7;7;2170;0.868
Landsat 7;7;2172;0.88
Landsat 7;7;2174;0.877
Landsat 7;7;2176;0.87
Landsat 7;7;2178;0.878
Landsat 7;7;2180;0.88
Landsat 7;7;2182;0.868
Landsat 7;7;2183;0.881
Landsat 7;7;2185;0.87
Landsat 7;7;2187;0.856
Landsat 7;7;2189;0.863
Landsat 7;7;2191;0.863
Landsat 7;7;2193;0.857
Landsat 7;7;2195;0.844
Landsat 7;7;2197;0.859
Landsat 7;7;2199;0.857
Landsat 7;7;2201;0.852
Landsat 7;7;2203;0.866
Landsat 7;7;2205;0.868
Landsat 7;7;2207;0.856
Landsat 7;7;2209;0.856
Landsat 7;7;2210;0.847
Landsat 7;7;2212;0.861
Landsat 7;7;2214;0.862
Landsat 7;7;2216;0.84
Landsat 7;7;2218;0.856
Landsat 7;7;2220;0.838
Landsat 7;7;2222;0.856
Landsat 7;7;2223;0.837
Landsat 7;7;2226;0.842
Landsat 7;7;2227;0.826
Landsat 7;7;2229;0.844
Landsat 7;7;2231;0.827
Landsat 7;7;2233;0.842
Landsat 7;7;2235;0.822
Landsat 7;7;2237;0.843
Landsat 7;7;2239;0.823
Landsat 7;7;2241;0.854
Landsat 7;7;2242;0.839
Landsat 7;7;2244;0.853
Landsat 7;7;2246;0.854
Landsat 7;7;2248;0.865
Landsat 7;7;2250;0.873
Landsat 7;7;2252;0.869
Landsat 7;7;2254;0.865
Landsat 7;7;2256;0.893
Landsat 7;7;2258;0.89
Landsat 7;7;2259;0.89
Landsat 7;7;2261;0.906
Landsat 7;7;2263;0.924
Landsat 7;7;2265;0.92
Landsat 7;7;2267;0.922
Landsat 7;7;2269;0.939
Landsat 7;7;2271;0.916
Landsat 7;7;2273;0.94
Landsat 7;7;2274;0.93
Landsat 7;7;2276;0.942
Landsat 7;7;2278;0.957
Landsat 7;7;2280;0.954
Landsat 7;7;2282;0.951
Landsat 7;7;2284;0.954
Landsat 7;7;2286;0.966
Landsat 7;7;2288;0.975
Landsat 7;7;2290;0.985
Landsat 7;7;2292;0.971
Landsat 7;7;2293;0.973
Landsat 7;7;2295;0.97
Landsat 7;7;2297;0.993
Landsat 7;7;2299;0.996
Landsat 7;7;2301;0.983
Landsat 7;7;2303;0.972
Landsat 7;7;2305;1
Landsat 7;7;2307;0.998
Landsat 7;7;2309;0.971
Landsat 7;7;2310;0.968
Landsat 7;7;2312;0.967
Landsat 7;7;2314;0.962
Landsat 7;7;2316;0.949
Landsat 7;7;2318;0.923
Landsat 7;7;2320;0.929
Landsat 7;7;2322;0.917
Landsat 7;7;2323;0.934
Landsat 7;7;2325;0.903
Landsat 7;7;2327;0.926
Landsat 7;7;2329;0.916
Landsat 7;7;2331;0.942
Landsat 7;7;2333;0.924
Landsat 7;7;2335;0.92
Landsat 7;7;2337;0.863
Landsat 7;7;2339;0.824
Landsat 7;7;2340;0.775
Landsat 7;7;2342;0.684
Landsat 7;7;2344;0.583
Landsat 7;7;2346;0.48
Landsat 7;7;2348;0.378
Landsat 7;7;2350;0.275
Landsat 7;7;2352;0.233
Landsat 7;7;2354;0.171
Landsat 7;7;2355;0.131
Landsat 7;7;2357;0.111
Landsat 7;7;2359;0.081
Landsat 7;7;2361;0.069
Landsat 7;7;2363;0.046
Landsat 7;7;2365;0.029
Landsat 7;7;2367;0.038
Landsat 7;7;2369;-0.002
Landsat 7;7;2371;0.029
Landsat 7;7;2373;0.016
Landsat 7;7;2374;0.009
Landsat 7;7;2376;0.017
Landsat 7;7;2378;0.003
Landsat 7;7;2380;0.015
Landsat 7;7;2382;0
Landsat 7;7;2384;-0.009
Landsat 7;7;2386;0.007
Landsat 7;7;2390;0
