SATELLITE;BAND;WAVELENGTH;RSR;stdev
Landsat 8;6;1596;0.934552;0.025261
Landsat 8;6;1597;0.942525;0.023804
Landsat 8;6;1598;0.944351;0.022906
Landsat 8;6;1599;0.945872;0.022135
Landsat 8;6;1600;0.946175;0.021942
Landsat 8;6;1601;0.946432;0.021875
Landsat 8;6;1602;0.947006;0.021696
Landsat 8;6;1603;0.947589;0.021493
Landsat 8;6;1604;0.950194;0.020646
Landsat 8;6;1605;0.952859;0.019671
Landsat 8;6;1606;0.951303;0.019684
Landsat 8;6;1607;0.94967;0.01988
Landsat 8;6;1608;0.953047;0.019013
Landsat 8;6;1609;0.956494;0.017959
Landsat 8;6;1610;0.959047;0.017091
Landsat 8;6;1611;0.961545;0.016268
Landsat 8;6;1612;0.960048;0.015908
Landsat 8;6;1613;0.958335;0.015656
Landsat 8;6;1614;0.959835;0.015412
Landsat 8;6;1615;0.96147;0.015171
Landsat 8;6;1616;0.960857;0.015212
Landsat 8;6;1617;0.960175;0.01531
Landsat 8;6;1618;0.960813;0.015383
Landsat 8;6;1619;0.961486;0.015452
Landsat 8;6;1620;0.964703;0.01474
Landsat 8;6;1621;0.967943;0.013896
Landsat 8;6;1622;0.969314;0.013496
Landsat 8;6;1623;0.970589;0.013199
Landsat 8;6;1624;0.973713;0.012518
Landsat 8;6;1625;0.976906;0.011756
Landsat 8;6;1626;0.9791;0.011003
Landsat 8;6;1627;0.981258;0.010251
Landsat 8;6;1628;0.981285;0.009611
Landsat 8;6;1629;0.981372;0.008991
Landsat 8;6;1630;0.988609;0.006777
Landsat 8;6;1631;0.995869;0.004322
Landsat 8;6;1632;0.998021;0.003536
Landsat 8;6;1633;1;0.003091
Landsat 8;6;1634;0.999848;0.003227
Landsat 8;6;1635;0.999642;0.003468
Landsat 8;6;1636;0.99659;0.004207
Landsat 8;6;1637;0.993439;0.005025
Landsat 8;6;1638;0.986217;0.007026
Landsat 8;6;1639;0.978989;0.009186
Landsat 8;6;1640;0.967125;0.011401
Landsat 8;6;1641;0.95512;0.013627
Landsat 8;6;1642;0.936199;0.016461
Landsat 8;6;1643;0.917239;0.01939
Landsat 8;6;1644;0.879424;0.023739
Landsat 8;6;1645;0.840967;0.028379
Landsat 8;6;1646;0.796545;0.03171
Landsat 8;6;1647;0.751893;0.03481
Landsat 8;6;1648;0.694313;0.037056
Landsat 8;6;1649;0.636542;0.039176
Landsat 8;6;1650;0.573232;0.039551
Landsat 8;6;1651;0.509946;0.039712
Landsat 8;6;1652;0.451966;0.03776
Landsat 8;6;1653;0.39403;0.035456
Landsat 8;6;1654;0.34275;0.032309
Landsat 8;6;1655;0.291752;0.028982
Landsat 8;6;1656;0.251309;0.025491
Landsat 8;6;1657;0.211153;0.02197
Landsat 8;6;1658;0.180823;0.019144
Landsat 8;6;1659;0.15054;0.016426
Landsat 8;6;1660;0.128463;0.013903
Landsat 8;6;1661;0.106664;0.011419
Landsat 8;6;1662;0.090735;0.009561
Landsat 8;6;1663;0.074941;0.007811
Landsat 8;6;1664;0.06379;0.006535
Landsat 8;6;1665;0.052752;0.005326
Landsat 8;6;1666;0.045028;0.004448
Landsat 8;6;1667;0.03731;0.003609
Landsat 8;6;1668;0.031821;0.00305
Landsat 8;6;1669;0.02635;0.002537
Landsat 8;6;1670;0.022504;0.002155
Landsat 8;6;1671;0.018724;0.001801
Landsat 8;6;1672;0.016045;0.001555
Landsat 8;6;1673;0.013394;0.00133
Landsat 8;6;1674;0.011483;0.001168
Landsat 8;6;1675;0.009587;0.001016
Landsat 8;6;1676;0.008227;0.00091
Landsat 8;6;1677;0.006882;0.00081
Landsat 8;6;1678;0.00591;0.000778
Landsat 8;6;1679;0.00494;0.000753
Landsat 8;6;1680;0.004257;0.000729
Landsat 8;6;1681;0.003576;0.000706
Landsat 8;6;1682;0.003055;0.000672
Landsat 8;6;1683;0.002541;0.000634
Landsat 8;6;1684;0.00216;0.000601
Landsat 8;6;1685;0.001781;0.000568
Landsat 8;6;1686;0.001512;0.000576
Landsat 8;6;1687;0.001244;0.00059
Landsat 8;6;1688;0.00104;0.000579
Landsat 8;6;1689;0.000837;0.000565
Landsat 8;6;1690;0.000677;0.000556
Landsat 8;6;1691;0.000517;0.000548
Landsat 8;6;1692;0.000409;0.000527
Landsat 8;6;1693;0.000301;0.000504
Landsat 8;6;1694;0.000206;0.000554
